Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
2017-06-02 16:42:57.749040: step 0, loss = 4.67 (85.5 examples/sec; 1.497 sec/batch)
2017-06-02 16:43:35.934021: step 410, loss = 3.33 (1581.7 examples/sec; 0.081 sec/batch)
2017-06-02 16:43:36.870019: step 420, loss = 3.23 (1367.5 examples/sec; 0.094 sec/batch)
2017-06-02 16:43:37.793806: step 430, loss = 3.20 (1385.6 examples/sec; 0.092 sec/batch)
2017-06-02 16:43:38.731852: step 440, loss = 3.41 (1364.6 examples/sec; 0.094 sec/batch)
2017-06-02 16:43:39.648993: step 450, loss = 3.23 (1395.6 examples/sec; 0.092 sec/batch)
2017-06-02 16:43:40.567942: step 460, loss = 3.34 (1392.9 examples/sec; 0.092 sec/batch)
2017-06-02 16:43:41.465239: step 470, loss = 3.08 (1426.5 examples/sec; 0.090 sec/batch)
2017-06-02 16:43:42.387680: step 480, loss = 3.17 (1387.6 examples/sec; 0.092 sec/batch)
2017-06-02 16:43:43.294156: step 490, loss = 3.13 (1412.1 examples/sec; 0.091 sec/batch)
2017-06-02 16:43:44.330804: step 500, loss = 3.08 (1234.8 examples/sec; 0.104 sec/batch)
2017-06-02 16:43:45.131111: step 510, loss = 3.12 (1599.4 examples/sec; 0.080 sec/batch)
2017-06-02 16:43:46.073373: step 520, loss = 3.80 (1358.4 examples/sec; 0.094 sec/batch)
2017-06-02 16:43:47.002188: step 530, loss = 3.10 (1378.1 examples/sec; 0.093 sec/batch)
2017-06-02 16:43:47.954585: step 540, loss = 3.06 (1344.0 examples/sec; 0.095 sec/batch)
2017-06-02 16:43:48.836449: step 550, loss = 3.18 (1451.5 examples/sec; 0.088 sec/batch)
2017-06-02 16:43:49.774163: step 560, loss = 2.95 (1365.0 examples/sec; 0.094 sec/batch)
2017-06-02 16:43:50.690824: step 570, loss = 2.99 (1396.4 examples/sec; 0.092 sec/batch)
2017-06-02 16:43:51.614182: step 580, loss = 3.06 (1386.2 examples/sec; 0.092 sec/batch)
2017-06-02 16:43:52.508945: step 590, loss = 2.90 (1430.5 examples/sec; 0.089 sec/batch)
2017-06-02 16:43:53.550944: step 600, loss = 3.10 (1228.4 examples/sec; 0.104 sec/batch)
2017-06-02 16:43:54.357368: step 610, loss = 3.10 (1587.3 examples/sec; 0.081 sec/batch)
2017-06-02 16:43:55.294793: step 620, loss = 3.12 (1365.4 examples/sec; 0.094 sec/batch)
2017-06-02 16:43:56.262242: step 630, loss = 3.15 (1323.1 examples/sec; 0.097 sec/batch)
2017-06-02 16:43:57.154341: step 640, loss = 3.01 (1434.8 examples/sec; 0.089 sec/batch)
2017-06-02 16:43:58.046088: step 650, loss = 2.87 (1435.4 examples/sec; 0.089 sec/batch)
2017-06-02 16:43:58.936542: step 660, loss = 2.80 (1437.5 examples/sec; 0.089 sec/batch)
2017-06-02 16:43:59.851020: step 670, loss = 2.76 (1399.7 examples/sec; 0.091 sec/batch)
2017-06-02 16:44:00.725378: step 680, loss = 2.82 (1463.9 examples/sec; 0.087 sec/batch)
2017-06-02 16:44:01.652640: step 690, loss = 2.91 (1380.4 examples/sec; 0.093 sec/batch)
2017-06-02 16:44:02.688564: step 700, loss = 2.75 (1235.6 examples/sec; 0.104 sec/batch)
2017-06-02 16:44:03.428321: step 710, loss = 2.91 (1730.3 examples/sec; 0.074 sec/batch)
2017-06-02 16:44:04.333638: step 720, loss = 2.89 (1413.9 examples/sec; 0.091 sec/batch)
2017-06-02 16:44:05.239326: step 730, loss = 3.11 (1413.3 examples/sec; 0.091 sec/batch)
2017-06-02 16:44:06.100046: step 740, loss = 2.79 (1487.1 examples/sec; 0.086 sec/batch)
2017-06-02 16:44:06.964371: step 750, loss = 2.78 (1480.9 examples/sec; 0.086 sec/batch)
2017-06-02 16:44:07.810096: step 760, loss = 2.91 (1513.5 examples/sec; 0.085 sec/batch)
2017-06-02 16:44:08.667914: step 770, loss = 2.75 (1492.1 examples/sec; 0.086 sec/batch)
2017-06-02 16:44:09.506725: step 780, loss = 2.75 (1526.0 examples/sec; 0.084 sec/batch)
2017-06-02 16:44:10.693507: step 790, loss = 2.56 (1078.6 examples/sec; 0.119 sec/batch)
2017-06-02 16:44:12.066694: step 800, loss = 2.65 (932.1 examples/sec; 0.137 sec/batch)
2017-06-02 16:44:13.068333: step 810, loss = 2.83 (1277.9 examples/sec; 0.100 sec/batch)
2017-06-02 16:44:13.927838: step 820, loss = 2.57 (1489.2 examples/sec; 0.086 sec/batch)
2017-06-02 16:44:14.930747: step 830, loss = 2.52 (1276.3 examples/sec; 0.100 sec/batch)
2017-06-02 16:44:16.118060: step 840, loss = 2.50 (1078.1 examples/sec; 0.119 sec/batch)
2017-06-02 16:44:17.272422: step 850, loss = 2.69 (1108.8 examples/sec; 0.115 sec/batch)
2017-06-02 16:44:18.123497: step 860, loss = 2.47 (1504.0 examples/sec; 0.085 sec/batch)
2017-06-02 16:44:19.041292: step 870, loss = 2.60 (1394.7 examples/sec; 0.092 sec/batch)
2017-06-02 16:44:19.938559: step 880, loss = 2.66 (1426.5 examples/sec; 0.090 sec/batch)
2017-06-02 16:44:20.820479: step 890, loss = 2.73 (1451.4 examples/sec; 0.088 sec/batch)
2017-06-02 16:44:21.805715: step 900, loss = 2.43 (1299.2 examples/sec; 0.099 sec/batch)
2017-06-02 16:44:22.616062: step 910, loss = 2.70 (1579.6 examples/sec; 0.081 sec/batch)
2017-06-02 16:44:23.520183: step 920, loss = 2.45 (1415.7 examples/sec; 0.090 sec/batch)
2017-06-02 16:44:24.425779: step 930, loss = 2.47 (1413.4 examples/sec; 0.091 sec/batch)
2017-06-02 16:44:25.308114: step 940, loss = 2.71 (1450.7 examples/sec; 0.088 sec/batch)
2017-06-02 16:44:26.227095: step 950, loss = 2.56 (1392.9 examples/sec; 0.092 sec/batch)
2017-06-02 16:44:27.119140: step 960, loss = 2.72 (1434.9 examples/sec; 0.089 sec/batch)
2017-06-02 16:44:27.957654: step 970, loss = 2.37 (1526.5 examples/sec; 0.084 sec/batch)
2017-06-02 16:44:28.843319: step 980, loss = 2.61 (1445.3 examples/sec; 0.089 sec/batch)
2017-06-02 16:44:29.733064: step 990, loss = 2.39 (1438.6 examples/sec; 0.089 sec/batch)
2017-06-02 16:44:30.713158: step 1000, loss = 2.36 (1306.0 examples/sec; 0.098 sec/batch)
2017-06-02 16:44:31.493345: step 1010, loss = 2.19 (1640.6 examples/sec; 0.078 sec/batch)
2017-06-02 16:44:32.384046: step 1020, loss = 2.46 (1437.1 examples/sec; 0.089 sec/batch)
2017-06-02 16:44:33.280085: step 1030, loss = 2.33 (1428.5 examples/sec; 0.090 sec/batch)
2017-06-02 16:44:34.137703: step 1040, loss = 2.49 (1492.5 examples/sec; 0.086 sec/batch)
2017-06-02 16:44:35.036330: step 1050, loss = 2.23 (1424.4 examples/sec; 0.090 sec/batch)
2017-06-02 16:44:35.919815: step 1060, loss = 2.32 (1448.8 examples/sec; 0.088 sec/batch)
2017-06-02 16:44:36.782839: step 1070, loss = 2.37 (1483.2 examples/sec; 0.086 sec/batch)
2017-06-02 16:44:37.648232: step 1080, loss = 2.10 (1479.1 examples/sec; 0.087 sec/batch)
2017-06-02 16:44:38.503258: step 1090, loss = 2.32 (1497.0 examples/sec; 0.086 sec/batch)
2017-06-02 16:44:39.523332: step 1100, loss = 2.29 (1254.8 examples/sec; 0.102 sec/batch)
2017-06-02 16:44:40.271962: step 1110, loss = 2.32 (1709.8 examples/sec; 0.075 sec/batch)
2017-06-02 16:44:41.141886: step 1120, loss = 2.39 (1471.4 examples/sec; 0.087 sec/batch)
2017-06-02 16:44:42.018750: step 1130, loss = 2.17 (1459.8 examples/sec; 0.088 sec/batch)
2017-06-02 16:44:42.858119: step 1140, loss = 2.24 (1524.9 examples/sec; 0.084 sec/batch)
2017-06-02 16:44:43.736565: step 1150, loss = 2.06 (1457.1 examples/sec; 0.088 sec/batch)
2017-06-02 16:44:44.639428: step 1160, loss = 2.29 (1417.7 examples/sec; 0.090 sec/batch)
2017-06-02 16:44:45.525432: step 1170, loss = 2.40 (1444.7 examples/sec; 0.089 sec/batch)
2017-06-02 16:44:46.347815: step 1180, loss = 2.38 (1556.5 examples/sec; 0.082 sec/batch)
2017-06-02 16:44:47.213822: step 1190, loss = 2.16 (1478.1 examples/sec; 0.087 sec/batch)
2017-06-02 16:44:48.209764: step 1200, loss = 2.33 (1285.2 examples/sec; 0.100 sec/batch)
2017-06-02 16:44:48.956282: step 1210, loss = 2.21 (1714.6 examples/sec; 0.075 sec/batch)
2017-06-02 16:44:49.865262: step 1220, loss = 2.27 (1408.2 examples/sec; 0.091 sec/batch)
2017-06-02 16:44:50.744776: step 1230, loss = 2.28 (1455.3 examples/sec; 0.088 sec/batch)
2017-06-02 16:44:51.633281: step 1240, loss = 2.16 (1440.6 examples/sec; 0.089 sec/batch)
2017-06-02 16:44:52.474806: step 1250, loss = 2.13 (1521.0 examples/sec; 0.084 sec/batch)
2017-06-02 16:44:53.352110: step 1260, loss = 2.04 (1459.0 examples/sec; 0.088 sec/batch)
2017-06-02 16:44:54.251749: step 1270, loss = 2.17 (1422.8 examples/sec; 0.090 sec/batch)
2017-06-02 16:44:55.092678: step 1280, loss = 2.31 (1522.1 examples/sec; 0.084 sec/batch)
2017-06-02 16:44:55.970507: step 1290, loss = 2.30 (1458.1 examples/sec; 0.088 sec/batch)
2017-06-02 16:44:56.977876: step 1300, loss = 1.97 (1270.6 examples/sec; 0.101 sec/batch)
2017-06-02 16:44:57.702009: step 1310, loss = 2.40 (1767.7 examples/sec; 0.072 sec/batch)
2017-06-02 16:44:58.594889: step 1320, loss = 2.18 (1433.6 examples/sec; 0.089 sec/batch)
2017-06-02 16:44:59.485121: step 1330, loss = 2.17 (1437.8 examples/sec; 0.089 sec/batch)
2017-06-02 16:45:00.310257: step 1340, loss = 2.11 (1551.3 examples/sec; 0.083 sec/batch)
2017-06-02 16:45:01.194016: step 1350, loss = 2.03 (1448.4 examples/sec; 0.088 sec/batch)
2017-06-02 16:45:02.070702: step 1360, loss = 2.12 (1460.0 examples/sec; 0.088 sec/batch)
2017-06-02 16:45:02.899576: step 1370, loss = 2.14 (1544.3 examples/sec; 0.083 sec/batch)
2017-06-02 16:45:03.803179: step 1380, loss = 1.85 (1416.5 examples/sec; 0.090 sec/batch)
2017-06-02 16:45:04.677607: step 1390, loss = 1.96 (1463.8 examples/sec; 0.087 sec/batch)
2017-06-02 16:45:05.722574: step 1400, loss = 2.06 (1224.9 examples/sec; 0.104 sec/batch)
2017-06-02 16:45:06.450529: step 1410, loss = 1.99 (1758.4 examples/sec; 0.073 sec/batch)
2017-06-02 16:45:07.353818: step 1420, loss = 1.98 (1417.0 examples/sec; 0.090 sec/batch)
2017-06-02 16:45:08.236113: step 1430, loss = 2.02 (1450.8 examples/sec; 0.088 sec/batch)
2017-06-02 16:45:09.072376: step 1440, loss = 2.25 (1530.6 examples/sec; 0.084 sec/batch)
2017-06-02 16:45:09.958861: step 1450, loss = 1.93 (1443.9 examples/sec; 0.089 sec/batch)
2017-06-02 16:45:10.853746: step 1460, loss = 2.26 (1430.3 examples/sec; 0.089 sec/batch)
2017-06-02 16:45:11.673120: step 1470, loss = 1.85 (1562.2 examples/sec; 0.082 sec/batch)
2017-06-02 16:45:12.563846: step 1480, loss = 1.96 (1437.0 examples/sec; 0.089 sec/batch)
2017-06-02 16:45:13.444353: step 1490, loss = 1.96 (1453.7 examples/sec; 0.088 sec/batch)
2017-06-02 16:45:14.407515: step 1500, loss = 1.89 (1329.0 examples/sec; 0.096 sec/batch)
2017-06-02 16:45:15.156636: step 1510, loss = 1.89 (1708.7 examples/sec; 0.075 sec/batch)
2017-06-02 16:45:16.048474: step 1520, loss = 1.97 (1435.2 examples/sec; 0.089 sec/batch)
2017-06-02 16:45:16.926303: step 1530, loss = 2.10 (1458.1 examples/sec; 0.088 sec/batch)
2017-06-02 16:45:17.755413: step 1540, loss = 1.84 (1543.8 examples/sec; 0.083 sec/batch)
2017-06-02 16:45:18.629397: step 1550, loss = 2.04 (1464.6 examples/sec; 0.087 sec/batch)
2017-06-02 16:45:19.506702: step 1560, loss = 2.07 (1459.0 examples/sec; 0.088 sec/batch)
2017-06-02 16:45:20.387507: step 1570, loss = 2.01 (1453.2 examples/sec; 0.088 sec/batch)
2017-06-02 16:45:21.205156: step 1580, loss = 1.86 (1565.5 examples/sec; 0.082 sec/batch)
2017-06-02 16:45:22.080948: step 1590, loss = 2.07 (1461.6 examples/sec; 0.088 sec/batch)
2017-06-02 16:45:23.070861: step 1600, loss = 2.19 (1293.0 examples/sec; 0.099 sec/batch)
2017-06-02 16:45:23.796574: step 1610, loss = 1.85 (1763.8 examples/sec; 0.073 sec/batch)
2017-06-02 16:45:24.673231: step 1620, loss = 1.79 (1460.1 examples/sec; 0.088 sec/batch)
2017-06-02 16:45:25.540618: step 1630, loss = 1.83 (1475.7 examples/sec; 0.087 sec/batch)
2017-06-02 16:45:26.370945: step 1640, loss = 1.70 (1541.6 examples/sec; 0.083 sec/batch)
2017-06-02 16:45:27.252250: step 1650, loss = 1.84 (1452.4 examples/sec; 0.088 sec/batch)
2017-06-02 16:45:28.133058: step 1660, loss = 1.74 (1453.2 examples/sec; 0.088 sec/batch)
2017-06-02 16:45:28.965417: step 1670, loss = 1.92 (1537.8 examples/sec; 0.083 sec/batch)
2017-06-02 16:45:29.847299: step 1680, loss = 1.79 (1451.5 examples/sec; 0.088 sec/batch)
2017-06-02 16:45:30.731183: step 1690, loss = 1.85 (1448.2 examples/sec; 0.088 sec/batch)
2017-06-02 16:45:31.685663: step 1700, loss = 1.73 (1341.0 examples/sec; 0.095 sec/batch)
2017-06-02 16:45:32.463421: step 1710, loss = 1.86 (1645.7 examples/sec; 0.078 sec/batch)
2017-06-02 16:45:33.351088: step 1720, loss = 1.71 (1442.0 examples/sec; 0.089 sec/batch)
2017-06-02 16:45:34.231490: step 1730, loss = 2.06 (1453.9 examples/sec; 0.088 sec/batch)
2017-06-02 16:45:35.055904: step 1740, loss = 1.88 (1552.6 examples/sec; 0.082 sec/batch)
2017-06-02 16:45:35.930287: step 1750, loss = 1.73 (1463.9 examples/sec; 0.087 sec/batch)
2017-06-02 16:45:36.787103: step 1760, loss = 1.81 (1493.9 examples/sec; 0.086 sec/batch)
2017-06-02 16:45:37.602852: step 1770, loss = 1.85 (1569.1 examples/sec; 0.082 sec/batch)
2017-06-02 16:45:38.460048: step 1780, loss = 1.90 (1493.2 examples/sec; 0.086 sec/batch)
2017-06-02 16:45:39.311312: step 1790, loss = 1.84 (1503.6 examples/sec; 0.085 sec/batch)
2017-06-02 16:45:40.295700: step 1800, loss = 1.65 (1300.3 examples/sec; 0.098 sec/batch)
2017-06-02 16:45:41.029002: step 1810, loss = 1.72 (1745.5 examples/sec; 0.073 sec/batch)
2017-06-02 16:45:41.907757: step 1820, loss = 1.80 (1456.6 examples/sec; 0.088 sec/batch)
2017-06-02 16:45:42.787506: step 1830, loss = 1.81 (1455.0 examples/sec; 0.088 sec/batch)
2017-06-02 16:45:43.620076: step 1840, loss = 1.74 (1537.4 examples/sec; 0.083 sec/batch)
2017-06-02 16:45:44.498374: step 1850, loss = 1.65 (1457.4 examples/sec; 0.088 sec/batch)
2017-06-02 16:45:45.372960: step 1860, loss = 1.77 (1463.5 examples/sec; 0.087 sec/batch)
2017-06-02 16:45:46.251611: step 1870, loss = 1.69 (1456.8 examples/sec; 0.088 sec/batch)
2017-06-02 16:45:47.090296: step 1880, loss = 1.55 (1526.2 examples/sec; 0.084 sec/batch)
2017-06-02 16:45:47.975979: step 1890, loss = 1.54 (1445.2 examples/sec; 0.089 sec/batch)
2017-06-02 16:45:48.974178: step 1900, loss = 1.54 (1282.3 examples/sec; 0.100 sec/batch)
2017-06-02 16:45:49.673029: step 1910, loss = 1.68 (1831.7 examples/sec; 0.070 sec/batch)
2017-06-02 16:45:50.557908: step 1920, loss = 1.80 (1446.5 examples/sec; 0.088 sec/batch)
2017-06-02 16:45:51.447936: step 1930, loss = 1.73 (1438.2 examples/sec; 0.089 sec/batch)
2017-06-02 16:45:52.303565: step 1940, loss = 1.69 (1496.0 examples/sec; 0.086 sec/batch)
2017-06-02 16:45:53.198959: step 1950, loss = 1.83 (1429.5 examples/sec; 0.090 sec/batch)
2017-06-02 16:45:54.103714: step 1960, loss = 1.62 (1414.7 examples/sec; 0.090 sec/batch)
2017-06-02 16:45:54.999146: step 1970, loss = 1.83 (1429.5 examples/sec; 0.090 sec/batch)
2017-06-02 16:45:55.823851: step 1980, loss = 1.62 (1552.1 examples/sec; 0.082 sec/batch)
2017-06-02 16:45:56.716302: step 1990, loss = 1.47 (1434.3 examples/sec; 0.089 sec/batch)
2017-06-02 16:45:57.714728: step 2000, loss = 1.60 (1282.0 examples/sec; 0.100 sec/batch)
2017-06-02 16:45:58.449539: step 2010, loss = 1.64 (1741.9 examples/sec; 0.073 sec/batch)
2017-06-02 16:45:59.343280: step 2020, loss = 1.74 (1432.2 examples/sec; 0.089 sec/batch)
2017-06-02 16:46:00.228969: step 2030, loss = 1.35 (1445.2 examples/sec; 0.089 sec/batch)
2017-06-02 16:46:01.072745: step 2040, loss = 1.49 (1517.0 examples/sec; 0.084 sec/batch)
2017-06-02 16:46:01.947727: step 2050, loss = 1.75 (1462.9 examples/sec; 0.087 sec/batch)
2017-06-02 16:46:02.827033: step 2060, loss = 1.73 (1455.7 examples/sec; 0.088 sec/batch)
2017-06-02 16:46:03.708096: step 2070, loss = 1.57 (1452.8 examples/sec; 0.088 sec/batch)
2017-06-02 16:46:04.538723: step 2080, loss = 1.80 (1541.0 examples/sec; 0.083 sec/batch)
2017-06-02 16:46:05.405627: step 2090, loss = 1.50 (1476.5 examples/sec; 0.087 sec/batch)
2017-06-02 16:46:06.389694: step 2100, loss = 1.67 (1300.7 examples/sec; 0.098 sec/batch)
2017-06-02 16:46:07.119212: step 2110, loss = 1.47 (1754.6 examples/sec; 0.073 sec/batch)
2017-06-02 16:46:07.987132: step 2120, loss = 1.57 (1474.8 examples/sec; 0.087 sec/batch)
2017-06-02 16:46:08.863776: step 2130, loss = 1.75 (1460.1 examples/sec; 0.088 sec/batch)
2017-06-02 16:46:09.704948: step 2140, loss = 1.66 (1521.7 examples/sec; 0.084 sec/batch)
2017-06-02 16:46:10.609239: step 2150, loss = 1.40 (1415.5 examples/sec; 0.090 sec/batch)
2017-06-02 16:46:11.493557: step 2160, loss = 1.56 (1447.5 examples/sec; 0.088 sec/batch)
2017-06-02 16:46:12.325728: step 2170, loss = 1.68 (1538.1 examples/sec; 0.083 sec/batch)
2017-06-02 16:46:13.206780: step 2180, loss = 1.61 (1452.8 examples/sec; 0.088 sec/batch)
2017-06-02 16:46:14.089288: step 2190, loss = 1.62 (1450.4 examples/sec; 0.088 sec/batch)
2017-06-02 16:46:15.095339: step 2200, loss = 1.54 (1272.3 examples/sec; 0.101 sec/batch)
2017-06-02 16:46:15.791618: step 2210, loss = 1.70 (1838.3 examples/sec; 0.070 sec/batch)
2017-06-02 16:46:16.664403: step 2220, loss = 1.38 (1466.6 examples/sec; 0.087 sec/batch)
2017-06-02 16:46:17.544287: step 2230, loss = 1.57 (1454.7 examples/sec; 0.088 sec/batch)
2017-06-02 16:46:18.363048: step 2240, loss = 1.39 (1563.3 examples/sec; 0.082 sec/batch)
2017-06-02 16:46:19.218741: step 2250, loss = 1.63 (1495.9 examples/sec; 0.086 sec/batch)
2017-06-02 16:46:20.095097: step 2260, loss = 1.40 (1460.6 examples/sec; 0.088 sec/batch)
2017-06-02 16:46:20.920843: step 2270, loss = 1.77 (1550.1 examples/sec; 0.083 sec/batch)
2017-06-02 16:46:21.790630: step 2280, loss = 1.70 (1471.6 examples/sec; 0.087 sec/batch)
2017-06-02 16:46:22.663663: step 2290, loss = 1.54 (1466.2 examples/sec; 0.087 sec/batch)
2017-06-02 16:46:23.624352: step 2300, loss = 1.50 (1332.4 examples/sec; 0.096 sec/batch)
2017-06-02 16:46:24.407967: step 2310, loss = 1.55 (1633.5 examples/sec; 0.078 sec/batch)
2017-06-02 16:46:25.272454: step 2320, loss = 1.55 (1480.6 examples/sec; 0.086 sec/batch)
2017-06-02 16:46:26.154812: step 2330, loss = 1.91 (1450.7 examples/sec; 0.088 sec/batch)
2017-06-02 16:46:26.995424: step 2340, loss = 1.41 (1522.7 examples/sec; 0.084 sec/batch)
2017-06-02 16:46:27.880468: step 2350, loss = 1.56 (1446.3 examples/sec; 0.089 sec/batch)
2017-06-02 16:46:28.762442: step 2360, loss = 1.40 (1451.3 examples/sec; 0.088 sec/batch)
2017-06-02 16:46:29.597170: step 2370, loss = 1.54 (1533.4 examples/sec; 0.083 sec/batch)
2017-06-02 16:46:30.495970: step 2380, loss = 1.61 (1424.1 examples/sec; 0.090 sec/batch)
2017-06-02 16:46:31.364232: step 2390, loss = 1.50 (1474.2 examples/sec; 0.087 sec/batch)
2017-06-02 16:46:32.340235: step 2400, loss = 1.44 (1311.5 examples/sec; 0.098 sec/batch)
2017-06-02 16:46:33.070307: step 2410, loss = 1.60 (1753.3 examples/sec; 0.073 sec/batch)
2017-06-02 16:46:33.917080: step 2420, loss = 1.36 (1511.6 examples/sec; 0.085 sec/batch)
2017-06-02 16:46:34.753638: step 2430, loss = 1.52 (1530.1 examples/sec; 0.084 sec/batch)
2017-06-02 16:46:35.570329: step 2440, loss = 1.37 (1567.3 examples/sec; 0.082 sec/batch)
2017-06-02 16:46:36.426285: step 2450, loss = 1.35 (1495.5 examples/sec; 0.086 sec/batch)
2017-06-02 16:46:37.294089: step 2460, loss = 1.44 (1474.9 examples/sec; 0.087 sec/batch)
2017-06-02 16:46:38.112075: step 2470, loss = 1.28 (1564.8 examples/sec; 0.082 sec/batch)
2017-06-02 16:46:38.999568: step 2480, loss = 1.31 (1442.3 examples/sec; 0.089 sec/batch)
2017-06-02 16:46:39.889572: step 2490, loss = 1.46 (1438.2 examples/sec; 0.089 sec/batch)
2017-06-02 16:46:40.860215: step 2500, loss = 1.33 (1318.7 examples/sec; 0.097 sec/batch)
2017-06-02 16:46:41.664762: step 2510, loss = 1.33 (1591.0 examples/sec; 0.080 sec/batch)
2017-06-02 16:46:42.570046: step 2520, loss = 1.53 (1413.9 examples/sec; 0.091 sec/batch)
2017-06-02 16:46:43.449466: step 2530, loss = 1.37 (1455.5 examples/sec; 0.088 sec/batch)
2017-06-02 16:46:44.284641: step 2540, loss = 1.33 (1532.6 examples/sec; 0.084 sec/batch)
2017-06-02 16:46:45.184233: step 2550, loss = 1.34 (1422.9 examples/sec; 0.090 sec/batch)
2017-06-02 16:46:46.060079: step 2560, loss = 1.37 (1461.4 examples/sec; 0.088 sec/batch)
2017-06-02 16:46:46.959335: step 2570, loss = 1.34 (1423.4 examples/sec; 0.090 sec/batch)
2017-06-02 16:46:47.797947: step 2580, loss = 1.34 (1526.3 examples/sec; 0.084 sec/batch)
2017-06-02 16:46:48.680705: step 2590, loss = 1.28 (1450.0 examples/sec; 0.088 sec/batch)
2017-06-02 16:46:49.658010: step 2600, loss = 1.41 (1309.7 examples/sec; 0.098 sec/batch)
2017-06-02 16:46:50.398660: step 2610, loss = 1.62 (1728.2 examples/sec; 0.074 sec/batch)
2017-06-02 16:46:51.281845: step 2620, loss = 1.33 (1449.3 examples/sec; 0.088 sec/batch)
